"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"110148 São Felipe D'Oeste";-;-;4;-;3;-;-;-;-;-;1;4;-;-;-;-;1;-;1;14;28
"110149 São Francisco do Guaporé";17;4;17;6;8;3;-;-;-;4;5;40;7;-;2;6;4;4;-;101;228
"110032 São Miguel do Guaporé";-;-;17;1;4;-;-;-;-;1;7;17;6;1;2;14;3;4;1;37;115
"110150 Seringueiras";3;-;4;1;4;-;-;-;-;1;1;13;3;-;-;-;1;1;-;25;57
"110155 Teixeirópolis";-;-;3;-;1;-;-;-;-;-;-;5;-;-;-;1;-;-;2;8;20
"110160 Theobroma";-;-;9;1;5;-;-;1;-;2;2;13;2;1;-;2;1;1;-;32;72
"110170 Urupá";-;-;6;-;4;1;-;-;-;2;2;11;2;-;-;4;1;1;2;10;46
"110175 Vale do Anari";-;-;4;-;4;-;-;-;-;-;3;10;1;1;-;-;1;1;2;17;44
"110180 Vale do Paraíso";-;-;6;-;4;2;-;-;-;-;1;13;-;-;-;1;-;-;-;24;51
"110030 Vilhena";7;18;71;33;25;26;8;31;-;126;154;163;64;16;16;28;32;80;8;320;1226
"120001 Acrelândia";-;-;4;-;6;-;1;-;-;-;5;12;2;-;2;1;3;2;3;39;80
"120005 Assis Brasil";-;-;7;-;3;-;-;-;-;-;4;9;2;-;1;1;2;2;-;40;71
"120010 Brasiléia";4;2;27;6;9;1;-;-;-;4;16;62;6;-;2;2;7;6;12;77;243
"120013 Bujari";-;-;1;-;6;-;-;-;-;-;3;8;2;-;-;2;-;1;-;15;38
"120017 Capixaba";-;-;1;-;5;-;-;-;-;-;3;8;1;-;-;1;1;2;-;11;33
"120020 Cruzeiro do Sul";12;11;88;27;40;13;3;6;-;57;46;217;46;7;12;12;29;18;1;550;1195
"120025 Epitaciolândia";-;-;1;-;7;-;-;-;-;-;6;11;1;-;1;-;3;3;3;13;49
"120030 Feijó";-;-;8;-;10;-;-;-;-;-;8;24;2;2;1;-;2;2;-;57;116
"120032 Jordão";-;-;2;-;3;-;-;-;-;-;4;10;-;-;-;-;-;-;1;18;38
"120033 Mâncio Lima";-;-;7;1;8;-;-;-;-;-;10;26;2;-;2;1;3;3;1;62;126
"120034 Manoel Urbano";-;-;8;-;4;-;-;-;-;-;4;12;1;-;-;3;1;1;5;24;63
"120035 Marechal Thaumaturgo";-;-;7;-;2;-;-;-;-;-;7;15;2;-;1;2;2;1;1;46;86
"120038 Plácido de Castro";-;-;8;-;9;-;-;-;-;-;9;24;3;-;1;2;2;2;2;72;134
"120080 Porto Acre";-;-;2;-;6;-;-;-;-;-;10;8;2;-;1;1;1;4;-;31;66
"120039 Porto Walter";-;-;4;-;3;-;-;-;-;-;5;14;1;-;-;1;2;2;-;35;67
"120040 Rio Branco";80;113;580;153;76;162;23;60;-;699;354;835;222;70;75;79;81;172;-;1667;5501
"120042 Rodrigues Alves";-;-;4;-;9;-;-;-;-;-;3;17;3;-;1;1;2;1;-;30;71
"120043 Santa Rosa do Purus";-;-;2;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;12;18
"120050 Sena Madureira";-;-;17;-;16;-;-;-;-;-;20;51;7;1;2;3;7;5;-;96;225
"120045 Senador Guiomard";1;6;8;2;8;-;-;-;-;-;12;23;2;-;1;5;2;3;-;71;144
"120060 Tarauacá";1;1;21;13;8;5;2;6;-;52;13;29;3;3;2;4;3;2;-;50;218
"120070 Xapuri";-;-;5;-;6;-;-;-;-;-;3;23;2;-;1;3;1;1;-;52;97
"130002 Alvarães";1;2;4;1;5;1;-;1;-;-;6;18;6;-;1;2;1;1;1;62;113
"130006 Amaturá";2;1;10;1;1;1;-;3;-;1;11;24;2;-;1;3;1;-;-;32;94
"130008 Anamã";1;1;4;1;4;-;-;1;-;-;9;21;1;1;-;7;2;1;-;29;83
"130010 Anori";1;4;10;-;12;-;-;2;-;3;8;17;5;-;3;-;2;1;7;15;90
"130014 Apuí";-;4;10;2;9;2;-;1;-;1;9;23;6;1;1;1;3;2;23;7;105
"130020 Atalaia do Norte";-;-;5;1;6;-;-;2;-;-;4;37;1;-;2;1;3;1;1;99;163
"130030 Autazes";1;3;18;1;17;1;1;2;-;2;18;47;4;4;3;1;7;7;2;101;240
"130040 Barcelos";-;4;11;-;8;-;-;1;-;-;8;32;4;1;1;2;3;2;-;94;171
"130050 Barreirinha";1;1;12;1;9;1;1;1;-;-;12;54;8;1;1;-;4;2;-;79;188
"130060 Benjamin Constant";-;3;12;1;15;-;-;-;-;2;11;44;3;1;1;2;6;2;5;106;214
"130063 Beruri";-;1;5;1;5;-;-;2;-;-;3;16;1;1;-;1;1;-;-;24;61
"130068 Boa Vista do Ramos";1;1;1;1;7;1;-;1;-;1;5;23;2;-;1;1;1;1;-;39;87
"130070 Boca do Acre";2;1;15;2;8;1;-;1;-;5;23;33;17;2;1;1;3;7;1;49;172
"130080 Borba";1;2;3;1;9;1;1;1;-;-;12;39;4;2;2;7;7;5;-;55;152
"130083 Caapiranga";1;1;3;1;6;1;-;1;-;-;5;26;2;-;1;4;2;1;-;29;84
"130090 Canutama";-;2;5;-;5;-;-;-;-;-;2;18;1;-;2;1;2;1;-;16;55
"130100 Carauari";-;2;4;1;10;1;-;1;-;2;4;29;7;-;6;4;5;5;-;52;133
"130110 Careiro";-;2;4;2;11;-;1;1;-;9;14;52;7;2;1;2;2;2;-;94;206
"130115 Careiro da Várzea";-;-;4;-;10;-;-;-;-;2;16;23;2;-;1;1;10;4;-;64;137
"130120 Coari";1;3;19;11;18;3;1;-;-;11;15;94;15;6;10;4;18;4;6;171;410
"130130 Codajás";1;1;5;1;7;2;1;1;-;1;9;13;1;1;1;2;3;1;-;44;95
"130140 Eirunepé";1;3;14;1;-;-;-;1;-;2;10;36;5;-;4;3;7;6;-;74;167
"130150 Envira";-;2;5;-;7;-;-;2;-;1;7;13;1;-;3;1;1;1;-;34;78
"130160 Fonte Boa";-;1;1;1;11;-;-;1;-;1;13;21;5;2;2;2;4;1;5;82;153
"130165 Guajará";-;2;6;1;7;1;1;-;-;-;9;22;2;-;1;2;4;2;3;41;104
"130170 Humaitá";4;8;28;4;15;4;1;6;-;13;28;70;20;5;10;8;6;8;1;155;394
"130180 Ipixuna";-;2;2;-;7;-;-;-;-;-;4;18;1;-;2;-;1;1;-;25;63
"130185 Iranduba";1;2;9;2;28;-;1;1;-;3;37;76;22;7;12;7;23;13;80;68;392
"130190 Itacoatiara";6;8;50;5;37;8;2;3;-;14;41;117;21;8;6;13;20;14;1;289;663
"130195 Itamarati";-;-;-;-;3;-;-;-;-;-;5;5;1;-;1;-;-;-;1;6;22
"130200 Itapiranga";-;1;6;1;5;2;-;1;-;-;16;20;2;1;1;1;2;4;-;25;88
"130210 Japurá";-;-;2;2;4;-;-;-;-;-;4;13;1;-;2;-;2;1;3;18;52
"130220 Juruá";-;1;1;1;6;1;-;-;-;-;3;13;3;-;-;-;-;-;1;31;61
"130230 Jutaí";-;1;3;1;13;1;-;-;-;-;8;19;4;1;2;2;1;2;-;42;100
"130240 Lábrea";1;1;23;8;11;4;1;2;-;6;29;75;3;2;7;3;4;5;-;114;299
"130250 Manacapuru";3;5;14;7;26;3;2;2;-;18;23;73;11;5;5;5;22;16;-;216;456
"130255 Manaquiri";-;-;9;2;4;1;-;-;-;3;7;22;5;1;1;4;3;4;-;29;95
"130260 Manaus";1567;1052;2619;952;300;1676;82;246;1;4006;1616;4342;679;211;220;401;492;468;35;10101;31066
"130270 Manicoré";1;3;10;3;14;1;-;1;-;2;12;37;2;1;2;2;6;2;1;64;164
"130280 Maraã";-;1;4;1;8;-;-;-;-;-;7;24;3;-;2;2;3;2;1;36;94
"130290 Maués";1;3;6;1;20;-;1;1;-;1;19;65;10;4;3;6;7;4;2;110;264
"130300 Nhamundá";2;2;2;-;8;1;-;1;-;-;11;35;3;1;2;3;6;1;2;85;165
"130310 Nova Olinda do Norte";2;4;17;1;12;1;-;1;-;4;12;38;10;7;5;5;5;10;-;76;210
"130320 Novo Airão";1;-;9;3;5;1;1;2;-;4;9;17;5;3;2;3;5;2;1;41;114
"130330 Novo Aripuanã";1;2;2;1;7;-;1;-;-;-;4;18;4;1;2;2;5;4;-;32;86
"130340 Parintins";6;11;39;10;28;10;1;8;-;25;60;124;20;8;10;10;28;24;-;219;641
"130350 Pauini";1;-;1;-;7;-;-;-;-;-;3;15;2;-;2;2;2;2;-;39;76
"130353 Presidente Figueiredo";2;3;35;7;14;3;-;5;-;10;25;46;4;1;2;2;10;1;2;126;298
"130356 Rio Preto da Eva";1;1;30;3;14;1;10;1;-;2;19;45;10;1;1;10;14;15;-;97;275
"130360 Santa Isabel do Rio Negro";2;2;6;1;7;1;-;-;-;-;10;26;1;-;2;2;1;-;-;66;127
"130370 Santo Antônio do Içá";1;1;5;4;12;-;-;-;-;1;16;31;1;1;1;3;2;1;-;55;135
"130380 São Gabriel da Cachoeira";4;5;21;5;28;5;-;1;-;1;43;111;5;1;3;9;4;4;-;213;463
"130390 São Paulo de Olivença";1;2;2;2;15;1;-;4;-;-;15;42;2;-;5;2;8;6;-;73;180
"130395 São Sebastião do Uatumã";-;3;8;1;5;1;-;-;-;1;6;18;1;-;1;2;2;1;-;22;72
"130400 Silves";1;1;7;1;6;-;-;2;-;-;5;20;1;1;1;2;5;1;-;35;89
"130406 Tabatinga";3;7;51;16;26;7;1;2;-;8;32;133;18;7;10;19;22;16;-;288;666
"130410 Tapauá";-;2;8;-;7;-;1;-;-;-;11;23;2;-;2;-;2;2;5;43;108
"130420 Tefé";3;6;24;6;21;2;1;6;-;4;37;69;13;6;5;11;15;8;-;199;436
"130423 Tonantins";2;2;3;1;9;-;-;1;-;-;9;21;1;-;1;2;2;2;-;34;90
"130426 Uarini";1;1;1;1;5;-;-;1;-;-;4;17;3;-;2;1;3;1;3;43;87
"130430 Urucará";2;2;2;1;6;1;-;2;-;1;7;22;4;1;1;2;2;1;-;39;96
"130440 Urucurituba";-;1;-;-;12;-;-;-;-;-;12;22;4;2;1;3;3;1;5;63;129
"140005 Alto Alegre";-;-;9;1;7;-;1;-;-;-;15;54;3;-;1;7;2;3;-;200;303
"140002 Amajari";-;-;7;-;5;-;-;-;-;-;10;26;5;-;1;1;2;1;-;74;132
"140010 Boa Vista";59;104;899;87;71;102;32;79;-;589;324;917;247;74;101;200;163;165;1;2313;6527
"140015 Bonfim";-;-;11;1;6;1;1;1;-;-;10;20;3;-;1;7;4;3;-;68;137
"140017 Cantá";-;-;1;1;8;-;1;-;-;-;11;19;1;-;-;2;2;1;1;36;84
"140020 Caracaraí";-;-;13;1;10;-;1;-;-;1;15;38;5;1;1;5;3;5;2;59;160
"140023 Caroebe";-;-;9;-;4;-;-;-;-;-;6;13;2;-;-;4;-;2;2;45;87
"140028 Iracema";-;-;2;-;6;-;-;-;-;-;7;13;4;-;1;2;1;1;-;63;100
"140030 Mucajaí";-;-;8;1;5;-;1;1;-;-;10;20;4;-;-;5;3;2;-;95;155
"140040 Normandia";-;-;5;-;4;-;-;-;-;-;10;22;2;-;-;1;1;1;-;61;107
"140045 Pacaraima";-;-;11;-;6;-;1;-;-;-;7;25;2;-;3;7;2;2;-;47;113
"140047 Rorainópolis";6;10;11;4;13;5;1;-;-;6;13;58;8;2;1;10;2;6;-;156;312
"140050 São João da Baliza";-;-;3;-;3;-;-;-;-;-;4;8;3;-;-;1;-;1;1;43;67
"140060 São Luiz";-;-;2;-;3;-;-;-;-;-;6;12;4;-;-;3;-;1;-;35;66
"140070 Uiramutã";-;-;1;-;4;-;-;-;-;-;8;17;1;-;-;2;1;1;-;45;80
"150010 Abaetetuba";1;10;87;17;21;21;1;10;-;55;53;165;15;7;16;21;21;14;-;395;930
"150013 Abel Figueiredo";1;1;5;1;3;-;-;-;-;-;2;6;2;-;2;1;-;1;1;14;40
"150020 Acará";2;2;7;1;10;3;-;1;-;4;11;24;5;1;3;3;2;1;-;60;140
"150030 Afuá";-;2;7;1;3;-;-;2;-;1;3;20;-;-;2;-;1;-;1;34;77
"150034 Água Azul do Norte";-;1;10;-;5;1;1;-;-;-;9;23;5;-;-;4;3;2;-;33;97
"150040 Alenquer";7;6;14;6;8;1;1;2;-;1;6;41;7;2;1;6;5;5;-;81;200
"150050 Almeirim";5;6;13;1;8;2;-;-;-;1;6;33;10;-;-;1;1;1;3;62;153
"150060 Altamira";13;21;89;21;23;25;1;11;-;78;59;211;34;11;24;32;16;22;7;827;1525
"150070 Anajás";1;1;1;1;3;1;-;1;-;-;3;17;3;-;3;-;4;-;-;51;90
"150080 Ananindeua";50;98;333;54;129;96;8;43;-;467;190;621;139;35;50;76;106;82;12;1090;3679
"150085 Anapu";-;2;9;1;6;-;-;1;-;-;5;23;3;-;1;3;1;2;-;55;112
"150090 Augusto Corrêa";-;3;9;3;15;1;1;2;-;4;18;35;4;3;4;1;8;6;-;62;179
"150095 Aurora do Pará";-;2;8;2;5;2;-;1;-;-;8;16;3;2;2;2;7;5;-;33;98
"150100 Aveiro";-;-;2;-;6;-;-;-;-;-;2;16;-;-;-;-;-;-;-;27;53
"150110 Bagre";-;-;2;-;6;-;-;-;-;-;5;13;-;-;-;-;-;-;-;37;63
"150120 Baião";1;2;4;1;11;2;1;1;-;2;4;22;3;-;3;1;5;4;-;62;129
"150125 Bannach";-;-;4;-;3;-;-;1;-;-;5;8;1;-;1;2;3;1;-;21;50
"150130 Barcarena";25;5;52;34;34;63;2;22;-;84;63;148;33;12;19;9;22;26;-;324;977
"150140 Belém";552;349;2059;515;124;673;68;260;3;3461;836;2376;858;266;367;511;498;497;-;5642;19915
"150145 Belterra";-;-;4;-;9;-;-;-;-;-;6;20;2;-;1;-;2;1;1;31;77
"150150 Benevides";1;1;46;3;1;3;1;2;-;14;28;61;12;2;7;5;22;8;-;74;291
"150157 Bom Jesus do Tocantins";-;2;5;-;6;-;-;1;-;-;10;18;3;1;1;1;2;1;2;37;90
"150160 Bonito";-;-;2;-;7;-;-;1;-;-;7;12;2;1;-;2;3;1;-;14;52
"150170 Bragança";4;22;80;26;51;12;4;9;-;53;56;223;26;16;15;19;31;29;1;387;1064
"150172 Brasil Novo";2;2;3;1;7;-;1;1;-;4;10;20;4;-;-;3;2;2;-;35;97
"150175 Brejo Grande do Araguaia";-;-;1;-;4;-;-;-;-;-;5;9;4;-;1;-;-;2;-;22;48
"150178 Breu Branco";2;2;21;3;8;-;-;1;1;11;7;42;5;1;1;2;5;2;1;90;205
"150180 Breves";8;8;38;5;18;6;1;7;-;17;16;122;10;2;8;7;14;10;5;308;610
"150190 Bujaru";1;2;3;2;5;2;-;1;-;1;11;17;3;-;2;2;3;4;-;39;98
"150200 Cachoeira do Arari";-;1;3;1;3;1;-;-;-;-;3;17;1;-;1;-;2;1;1;24;59
"150195 Cachoeira do Piriá";-;-;2;-;9;-;1;1;-;-;8;19;2;-;2;2;5;3;-;37;91
"150210 Cametá";7;15;47;15;22;5;1;7;-;27;33;126;23;7;14;43;36;12;4;350;794
"150215 Canaã dos Carajás";3;13;79;21;17;13;3;6;-;26;103;102;25;10;9;16;6;16;-;260;728
"150220 Capanema";14;27;66;19;22;12;3;21;-;96;56;90;23;7;13;8;21;18;4;230;750
"150230 Capitão Poço";1;3;10;5;17;1;1;3;-;5;19;32;6;1;4;4;7;2;-;78;199
"150240 Castanhal";19;31;140;33;55;18;4;29;-;165;86;295;66;19;30;30;50;39;13;569;1691
"150250 Chaves";-;-;5;-;6;1;-;-;-;-;5;14;-;-;-;1;2;1;1;33;69
"150260 Colares";-;-;4;1;5;-;1;1;-;-;5;13;2;1;2;-;3;2;1;16;57
"150270 Conceição do Araguaia";2;8;43;8;12;4;-;1;-;24;29;69;14;2;4;5;9;14;-;143;391
"150275 Concórdia do Pará";-;1;3;-;7;-;1;-;-;1;9;14;2;-;1;-;2;1;-;35;77
"150276 Cumaru do Norte";-;1;4;1;6;1;-;-;-;-;7;19;2;-;-;3;3;2;-;27;76
"150277 Curionópolis";-;1;7;1;8;2;1;1;-;6;10;11;4;1;-;1;2;2;-;37;95
"150280 Curralinho";-;2;5;1;4;-;-;1;-;1;3;18;2;1;2;-;4;1;-;46;91
"150285 Curuá";-;-;1;-;5;-;-;-;-;-;2;19;1;-;1;1;1;-;-;29;60
"150290 Curuçá";-;-;5;-;13;2;-;1;-;2;11;27;7;1;2;1;4;5;8;39;128
"150293 Dom Eliseu";-;9;11;1;10;-;1;8;-;8;34;39;5;3;5;6;4;3;-;78;225
"150295 Eldorado do Carajás";-;2;7;1;6;-;1;1;-;1;6;14;3;-;3;-;3;1;-;36;85
"150300 Faro";-;1;2;1;4;1;-;-;-;-;3;12;2;-;1;2;3;-;-;24;56
"150304 Floresta do Araguaia";-;2;6;1;6;1;-;-;-;-;4;15;1;-;2;3;3;2;-;29;75
"150307 Garrafão do Norte";-;1;5;1;9;1;-;-;-;-;9;24;3;1;3;-;1;3;-;60;121
"150309 Goianésia do Pará";1;1;6;2;6;3;-;1;-;3;10;23;4;1;5;2;3;2;-;73;146
"150310 Gurupá";-;1;4;-;5;-;-;-;-;-;6;15;2;1;1;5;2;1;3;71;117
"150320 Igarapé-Açu";-;-;20;2;13;5;1;1;-;8;16;35;5;4;9;3;10;7;1;90;230
"150330 Igarapé-Miri";-;9;20;6;8;3;-;2;-;2;12;33;3;1;4;-;9;4;1;94;211
"150340 Inhangapi";-;-;4;1;5;1;-;1;-;2;5;17;2;-;3;-;2;2;-;21;66
"150345 Ipixuna do Pará";7;13;21;6;16;2;-;6;-;17;7;48;4;1;6;5;4;3;1;140;307
"150350 Irituia";-;-;4;1;9;-;1;1;-;-;7;22;2;-;3;-;6;2;-;39;97
"150360 Itaituba";5;7;57;9;23;5;2;2;-;14;23;147;23;8;3;11;10;11;1;202;563
"150370 Itupiranga";2;1;12;-;7;-;1;-;-;-;11;33;5;1;2;1;1;2;2;61;142
"150375 Jacareacanga";1;2;5;1;11;-;-;-;-;-;5;34;-;-;1;4;3;-;-;65;132
"150380 Jacundá";1;11;23;2;11;-;1;3;-;4;8;31;7;1;2;7;3;3;-;66;184
"150390 Juruti";9;7;20;4;8;1;-;4;-;18;18;59;14;3;2;5;2;6;2;123;305
"150400 Limoeiro do Ajuru";-;-;6;-;3;-;1;-;-;-;6;22;1;-;2;1;3;2;1;75;123
"150405 Mãe do Rio";-;4;6;1;12;1;1;1;-;4;6;20;6;2;4;-;7;7;-;54;136
"150410 Magalhães Barata";-;-;5;1;4;1;-;1;-;1;4;14;1;-;3;1;1;2;-;15;54
"150420 Marabá";56;38;182;54;30;34;5;36;-;203;130;278;104;19;26;36;29;39;5;850;2154
"150430 Maracanã";1;1;6;-;7;-;-;-;-;-;7;29;1;-;1;-;3;1;3;55;115
"150440 Marapanim";-;-;5;1;7;1;-;-;-;-;6;19;5;-;2;2;5;1;2;48;104
"150442 Marituba";8;13;104;9;22;15;3;7;-;95;73;130;24;5;12;16;34;20;3;359;952
"150445 Medicilândia";-;3;5;1;6;1;1;-;-;-;7;14;2;1;-;2;4;2;-;40;89
"150450 Melgaço";-;-;7;1;8;-;-;-;-;-;2;15;1;-;2;1;4;2;5;28;76
"150460 Mocajuba";-;2;7;2;7;2;-;1;-;2;9;22;5;1;3;2;4;1;1;39;110
"150470 Moju";-;1;7;4;6;4;-;1;-;8;13;31;3;1;4;2;5;4;1;58;153
"150475 Mojuí dos Campos";-;-;2;1;3;1;-;-;-;3;1;22;-;-;-;1;-;-;-;23;57
"150480 Monte Alegre";2;9;14;6;8;3;-;1;-;-;6;40;9;1;2;-;1;1;1;105;209
"150490 Muaná";-;1;2;-;7;1;-;-;-;-;2;20;2;-;2;1;3;1;1;46;89
"150495 Nova Esperança do Piriá";-;2;3;-;4;-;-;-;-;-;5;14;1;-;2;2;4;1;-;41;79
"150497 Nova Ipixuna";-;-;14;1;6;1;1;1;-;-;7;17;2;1;1;1;2;2;-;24;81
"150500 Nova Timboteua";-;-;1;-;7;-;1;-;-;1;7;17;1;-;1;1;2;1;2;43;85
"150503 Novo Progresso";3;2;8;1;10;1;-;9;-;5;10;43;6;1;2;2;3;5;-;85;196
"150506 Novo Repartimento";1;1;29;4;11;13;-;-;-;6;4;55;8;1;6;4;9;3;4;103;262
"150510 Óbidos";-;1;19;6;8;9;1;-;-;3;12;43;9;2;-;11;4;3;-;103;234
"150520 Oeiras do Pará";-;2;7;1;5;-;-;-;-;-;3;21;1;-;2;-;4;2;-;53;101
"150530 Oriximiná";7;29;43;9;14;10;-;2;-;13;17;73;15;6;7;8;8;7;-;173;441
"150540 Ourém";1;2;3;2;8;1;2;1;-;-;8;17;3;1;2;2;3;2;-;36;94
"150543 Ourilândia do Norte";-;7;21;2;13;4;1;4;-;9;35;36;5;5;2;5;5;5;1;69;229
"150548 Pacajá";-;3;9;1;7;-;-;-;-;-;4;28;4;-;3;3;5;1;-;79;147
"150549 Palestina do Pará";-;-;5;2;4;1;-;-;-;-;4;7;1;-;-;-;1;-;-;16;41
"150550 Paragominas";11;29;46;19;29;16;1;18;-;70;85;157;23;10;8;21;13;13;-;413;982
"150553 Parauapebas";16;38;223;61;40;59;8;17;-;254;292;315;109;57;49;63;54;77;-;854;2586
"150555 Pau D'Arco";-;1;5;1;5;-;-;1;-;-;12;14;1;-;-;1;3;1;-;26;71
"150560 Peixe-Boi";-;-;1;-;4;-;-;1;-;2;5;8;1;-;-;-;3;2;-;15;42
"150563 Piçarra";-;1;3;1;5;-;-;1;-;-;5;9;5;-;3;4;-;2;-;29;68
"150565 Placas";1;1;4;1;3;-;-;1;-;-;3;23;1;-;-;1;2;-;-;49;90
"150570 Ponta de Pedras";-;-;4;-;6;-;-;1;-;1;8;17;2;-;4;-;2;1;-;45;91
"150580 Portel";-;2;6;1;9;1;-;1;-;-;8;37;3;2;4;2;3;1;2;96;178
"150590 Porto de Moz";1;2;6;1;7;-;-;1;-;-;3;20;2;1;2;-;3;4;-;60;113
"150600 Prainha";-;3;4;3;6;3;-;-;-;1;6;28;-;-;-;-;2;2;4;48;110
"150610 Primavera";-;-;1;1;5;-;-;-;-;-;6;14;2;-;2;1;2;2;1;32;69
"150611 Quatipuru";-;-;2;-;4;-;-;-;-;-;5;12;1;1;1;-;2;-;-;21;49
"150613 Redenção";6;12;48;20;13;20;1;7;-;83;51;130;29;7;14;24;18;15;-;383;881
